StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,StatorDL,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM,RotorSMPM
Nt,ri,wt,tf,bt,cf,hs,wbi,turns,angle,torque,Nm,rsh,rr,wm,dm,mf,angle,Torque: 0.5,Torque: 0.6,Torque: 0.7
6,30,10,0.5,10,0.7,10,10,100,0,0.1982732914,4,6,26,7,6,0.5,168,-0.1982732915,-0.0625861505,0.0910807096
6,30,10,0.5,10,0.7,10,10,100,0,0.2496498553,4,6,26,7,6,0.5,171,-0.2496498554,-0.0222063174,0.1249360885
6,30,10,0.5,10,0.7,10,10,100,0,0.1429429848,4,6,26,7,6,0.5,174,-0.1429429848,0.0586559795,0.1140006765
6,30,10,0.5,10,0.7,10,10,100,0,0.0506129032,4,6,26,7,6,0.5,177,-0.0506129033,0.0411307253,0.0647527246
6,30,10,0.5,10,0.7,10,10,100,0,-0.0021128489,4,6,26,7,6,0.5,180,0.0021128488,-0.0116140693,-0.0022702623
6,30,10,0.6,10,0.7,10,10,100,0,0.0081696614,4,6,26,7,6,0.5,0,-0.0081696611,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0444249135,4,6,26,7,6,0.5,3,-0.0444249133,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0658264617,4,6,26,7,6,0.5,6,-0.0658264617,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0107624797,4,6,26,7,6,0.5,9,0.0107624799,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0676351418,4,6,26,7,6,0.5,12,0.0676351418,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0146602502,4,6,26,7,6,0.5,15,-0.01466025,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0612213431,4,6,26,7,6,0.5,18,-0.0612213429,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0461026355,4,6,26,7,6,0.5,21,-0.0461026355,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0519307204,4,6,26,7,6,0.5,24,0.0519307206,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0523997138,4,6,26,7,6,0.5,27,0.0523997136,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0024926106,4,6,26,7,6,0.5,30,-0.0024926105,,
6,30,10,0.6,10,0.7,10,10,100,0,0.056262711,4,6,26,7,6,0.5,33,-0.0562627106,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0500865531,4,6,26,7,6,0.5,36,-0.0500865529,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0310502834,4,6,26,7,6,0.5,39,0.0310502835,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0623503418,4,6,26,7,6,0.5,42,0.0623503422,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0094379979,4,6,26,7,6,0.5,45,0.0094379983,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0474329498,4,6,26,7,6,0.5,48,-0.0474329495,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0095684975,4,6,26,7,6,0.5,51,-0.0095684973,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0609871344,4,6,26,7,6,0.5,54,0.0609871346,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0614181473,4,6,26,7,6,0.5,57,0.0614181475,,
6,30,10,0.6,10,0.7,10,10,100,0,0.00638617,4,6,26,7,6,0.5,60,-0.0063861696,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0305926871,4,6,26,7,6,0.5,63,-0.0305926867,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0445232348,4,6,26,7,6,0.5,66,-0.0445232342,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0129215695,4,6,26,7,6,0.5,69,0.01292157,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0688070575,4,6,26,7,6,0.5,72,0.0688070579,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0244535084,4,6,26,7,6,0.5,75,-0.0244535081,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0649669097,4,6,26,7,6,0.5,78,-0.0649669093,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0208155227,4,6,26,7,6,0.5,81,-0.0208155225,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0527057517,4,6,26,7,6,0.5,84,0.0527057522,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0367971391,4,6,26,7,6,0.5,87,0.0367971393,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0106695813,4,6,26,7,6,0.5,90,-0.010669581,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0448333682,4,6,26,7,6,0.5,93,-0.0448333679,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0643220473,4,6,26,7,6,0.5,96,-0.0643220473,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0058080813,4,6,26,7,6,0.5,99,-0.0058080811,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0748464996,4,6,26,7,6,0.5,102,0.0748464996,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0081956076,4,6,26,7,6,0.5,105,-0.0081956073,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0597075087,4,6,26,7,6,0.5,108,-0.0597075085,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0293349646,4,6,26,7,6,0.5,111,-0.0293349646,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0491975815,4,6,26,7,6,0.5,114,0.0491975817,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.048447421,4,6,26,7,6,0.5,117,0.0484474208,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0002778992,4,6,26,7,6,0.5,120,0.0002778993,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0564581362,4,6,26,7,6,0.5,123,-0.0564581358,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0499919724,4,6,26,7,6,0.5,126,-0.0499919722,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0308599114,4,6,26,7,6,0.5,129,0.0308599115,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0697066044,4,6,26,7,6,0.5,132,0.0697066049,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0073574271,4,6,26,7,6,0.5,135,0.0073574275,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0501467151,4,6,26,7,6,0.5,138,-0.0501467149,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0143554828,4,6,26,7,6,0.5,141,-0.0143554826,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0591668841,4,6,26,7,6,0.5,144,0.0591668844,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0581019395,4,6,26,7,6,0.5,147,0.0581019397,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0061720322,4,6,26,7,6,0.5,150,-0.0061720318,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0304638153,4,6,26,7,6,0.5,153,-0.030463815,,
6,30,10,0.6,10,0.7,10,10,100,0,0.0515417484,4,6,26,7,6,0.5,156,-0.0515417478,,
6,30,10,0.6,10,0.7,10,10,100,0,-0.0108125921,4,6,26,7,6,0.5,159,0.0108125926,,
